,Departures,Arrival,Airline,Competitors,Codeshare
0,ATL,BOS,STR,3,8
1,ATL,CLT,STR,2,8
2,ATL,DEN,STR,4,11
3,ATL,DFW,STR,5,11
4,ATL,DTW,STR,2,8
5,ATL,EWR,STR,1,7
6,ATL,LAX,STR,3,10
7,ATL,LGA,STR,4,8
8,ATL,MCO,STR,3,8
9,ATL,MIA,STR,2,12
10,ATL,MSP,STR,3,8
11,ATL,ORD,STR,1,19
12,ATL,PHL,STR,4,9
13,ATL,SFO,STR,4,9
14,BOS,ATL,STR,3,7
15,BOS,EWR,STR,2,2
16,BOS,LAX,STR,6,7
17,BOS,LGA,STR,2,3
18,BOS,ORD,STR,5,5
19,BOS,PHL,STR,3,3
20,BOS,SFO,STR,3,3
21,CLT,ATL,STR,2,8
22,CLT,LGA,STR,3,3
23,DEN,ATL,STR,4,11
24,DEN,DFW,STR,5,5
25,DEN,LAS,STR,4,5
26,DEN,LAX,STR,4,7
27,DEN,MSP,STR,5,6
28,DEN,ORD,STR,4,4
29,DEN,PHX,STR,6,7
30,DEN,SEA,STR,4,5
31,DEN,SFO,STR,3,3
32,DFW,ATL,STR,3,10
33,DFW,BOS,STR,4,4
34,DFW,DEN,STR,5,5
35,DFW,LAS,STR,3,3
36,DFW,LAX,STR,3,6
37,DFW,LGA,STR,4,4
38,DFW,ORD,STR,4,4
39,DFW,PHL,STR,3,3
40,DFW,SFO,STR,4,5
41,DTW,ATL,STR,2,8
42,DTW,LGA,STR,3,4
43,DTW,ORD,STR,3,4
44,EWR,ATL,STR,1,7
45,EWR,BOS,STR,2,2
46,EWR,LAX,STR,2,2
47,EWR,MCO,STR,2,2
48,EWR,ORD,STR,2,3
49,EWR,SFO,STR,2,2
50,IAH,LAX,STR,3,5
51,IAH,ORD,STR,3,4
52,JFK,LAS,STR,5,8
53,JFK,LAX,STR,7,8
54,JFK,MCO,STR,3,4
55,JFK,MIA,STR,3,3
56,JFK,SFO,STR,6,7
57,LAS,DEN,STR,4,5
58,LAS,DFW,STR,3,3
59,LAS,JFK,STR,5,8
60,LAS,LAX,STR,8,9
61,LAS,ORD,STR,4,4
62,LAS,SFO,STR,3,4
63,LAX,ATL,STR,3,9
64,LAX,BOS,STR,6,7
65,LAX,DEN,STR,4,7
66,LAX,DFW,STR,3,6
67,LAX,EWR,STR,2,2
68,LAX,IAH,STR,3,5
69,LAX,JFK,STR,7,8
70,LAX,LAS,STR,8,9
71,LAX,ORD,STR,5,7
72,LAX,SEA,STR,4,5
73,LAX,SFO,STR,5,7
74,LGA,ATL,STR,3,7
75,LGA,BOS,STR,2,3
76,LGA,CLT,STR,3,3
77,LGA,DFW,STR,4,4
78,LGA,DTW,STR,3,4
79,LGA,MIA,STR,3,3
80,LGA,ORD,STR,4,5
81,MCO,ATL,STR,3,8
82,MCO,EWR,STR,2,2
83,MCO,PHL,STR,3,4
84,MIA,ATL,STR,2,12
85,MIA,JFK,STR,3,3
86,MIA,LGA,STR,3,3
87,MSP,ATL,STR,3,7
88,MSP,DEN,STR,5,6
89,MSP,ORD,STR,4,5
90,ORD,ATL,STR,1,20
91,ORD,BOS,STR,5,5
92,ORD,DEN,STR,4,4
93,ORD,DFW,STR,3,4
94,ORD,DTW,STR,3,4
95,ORD,EWR,STR,2,3
96,ORD,IAH,STR,3,4
97,ORD,LAS,STR,4,4
98,ORD,LAX,STR,5,6
99,ORD,LGA,STR,4,5
100,ORD,MSP,STR,4,5
101,ORD,PHL,STR,3,3
102,ORD,PHX,STR,3,3
103,ORD,SEA,STR,4,4
104,ORD,SFO,STR,4,5
105,PHL,ATL,STR,3,9
106,PHL,BOS,STR,3,3
107,PHL,DFW,STR,3,3
108,PHL,MCO,STR,3,4
109,PHL,ORD,STR,3,3
110,PHX,DEN,STR,6,7
111,PHX,ORD,STR,3,3
112,SEA,DEN,STR,4,6
113,SEA,LAX,STR,4,5
114,SEA,ORD,STR,4,4
115,SEA,SFO,STR,3,5
116,SFO,ATL,STR,4,11
117,SFO,BOS,STR,3,3
118,SFO,DEN,STR,3,4
119,SFO,DFW,STR,4,5
120,SFO,EWR,STR,2,2
121,SFO,JFK,STR,6,7
122,SFO,LAS,STR,3,4
123,SFO,LAX,STR,5,7
124,SFO,ORD,STR,4,5
125,SFO,SEA,STR,3,6
